ticker,ff12,ff12_source,classification_confidence
AGX,12,legacy_symbols_with_sector,
AGYS,6,legacy_symbols_with_sector,
AHCO,10,legacy_symbols_with_sector,
AHG,12,legacy_symbols_with_sector,
AHRT,11,legacy_symbols_with_sector,
AHT,11,legacy_symbols_with_sector,
AI,6,legacy_symbols_with_sector,
AIFF,6,legacy_symbols_with_sector,
AIFU,11,legacy_symbols_with_sector,
AIG,11,legacy_symbols_with_sector,
AIHS,12,legacy_symbols_with_sector,
AIIO,2,legacy_symbols_with_sector,
AIIOW,2,legacy_symbols_with_sector,
AIMD,10,legacy_symbols_with_sector,
AIMDW,10,legacy_symbols_with_sector,
AIN,1,legacy_symbols_with_sector,
AIO,12,legacy_symbols_with_sector,
AIOS,3,legacy_symbols_with_sector,
AIOT,6,legacy_symbols_with_sector,
AIP,6,legacy_symbols_with_sector,
AIR,3,legacy_symbols_with_sector,
AIRG,6,legacy_symbols_with_sector,
AIRI,3,legacy_symbols_with_sector,
AIRS,10,legacy_symbols_with_sector,
AIRT,12,legacy_symbols_with_sector,
AIRTP,12,legacy_symbols_with_sector,
AISP,6,legacy_symbols_with_sector,
AISPW,6,legacy_symbols_with_sector,
AIT,9,legacy_symbols_with_sector,
AIV,11,legacy_symbols_with_sector,
AIXC,10,legacy_symbols_with_sector,
AIZ,11,legacy_symbols_with_sector,
AIZN,11,legacy_symbols_with_sector,
AJG,11,legacy_symbols_with_sector,
AKA,9,legacy_symbols_with_sector,
AKAM,12,legacy_symbols_with_sector,
AKAN,10,legacy_symbols_with_sector,
AKBA,10,legacy_symbols_with_sector,
AKO-A,1,legacy_symbols_with_sector,
AKO-B,1,legacy_symbols_with_sector,
AKR,11,legacy_symbols_with_sector,
AKTX,10,legacy_symbols_with_sector,
AL,12,legacy_symbols_with_sector,
ALAR,6,legacy_symbols_with_sector,
ALB,5,legacy_symbols_with_sector,
ALBT,6,legacy_symbols_with_sector,
ALC,10,legacy_symbols_with_sector,
ALCO,1,legacy_symbols_with_sector,
ALDX,10,legacy_symbols_with_sector,
ALEC,10,legacy_symbols_with_sector,
ALG,3,legacy_symbols_with_sector,
ALGM,6,legacy_symbols_with_sector,
ALGN,10,legacy_symbols_with_sector,
ALGS,10,legacy_symbols_with_sector,
ALGT,12,legacy_symbols_with_sector,
ALHC,11,legacy_symbols_with_sector,
ALIT,12,legacy_symbols_with_sector,
ALK,12,legacy_symbols_with_sector,
ALKS,10,legacy_symbols_with_sector,
ALKT,6,legacy_symbols_with_sector,
ALL,11,legacy_symbols_with_sector,
ALLE,12,legacy_symbols_with_sector,
