symbol,first_snapshot_year,latest_snapshot_year,sources,asset_types,statuses,alpha_vantage_symbol,yahoo_symbol_candidate,local_symbol_candidate,symbol_suffix_type,needs_symbol_validation
AAA,2020,2022,alpha_vantage_listing_status,ETF,Active,AAA,AAA,AAA,plain,False
AAAU,2018,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,AAAU,AAAU,AAAU,plain,False
AADR,2010,2022,alpha_vantage_listing_status,ETF,Active,AADR,AADR,AADR,plain,False
AAIT,2012,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AAIT,AAIT,AAIT,plain,False
AAPB,2022,2022,alpha_vantage_listing_status,ETF,Active,AAPB,AAPB,AAPB,plain,False
AAPD,2022,2022,alpha_vantage_listing_status,ETF,Active,AAPD,AAPD,AAPD,plain,False
AAPU,2022,2022,alpha_vantage_listing_status,ETF,Active,AAPU,AAPU,AAPU,plain,False
AAVM,2017,2022,alpha_vantage_listing_status,ETF,Active,AAVM,AAVM,AAVM,plain,False
AAXJ,2010,2022,alpha_vantage_listing_status,ETF,Active,AAXJ,AAXJ,AAXJ,plain,False
ABE,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,ABE,ABE,ABE,plain,False
ABEQ,2020,2022,alpha_vantage_listing_status,ETF,Active,ABEQ,ABEQ,ABEQ,plain,False
ABFL,2017,2022,alpha_vantage_listing_status,ETF,Active,ABFL,ABFL,ABFL,plain,False
ABLD,2021,2022,alpha_vantage_listing_status,ETF,Active,ABLD,ABLD,ABLD,plain,False
ABLG,2017,2022,alpha_vantage_listing_status,ETF,Active,ABLG,ABLG,ABLG,plain,False
ABOT,2020,2022,alpha_vantage_listing_status,ETF,Active,ABOT,ABOT,ABOT,plain,False
ABXB,2020,2022,alpha_vantage_listing_status,ETF,Active,ABXB,ABXB,ABXB,plain,False
ACCU,2012,2021,alpha_vantage_listing_status,ETF,Active|Delisted,ACCU,ACCU,ACCU,plain,False
ACES,2018,2022,alpha_vantage_listing_status,ETF,Active,ACES,ACES,ACES,plain,False
ACG,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,ACG,ACG,ACG,plain,False
ACGR,2020,2022,alpha_vantage_listing_status,ETF,Active,ACGR,ACGR,ACGR,plain,False
ACIO,2019,2022,alpha_vantage_listing_status,ETF,Active,ACIO,ACIO,ACIO,plain,False
ACLC,2020,2022,alpha_vantage_listing_status,ETF,Active,ACLC,ACLC,ACLC,plain,False
ACP,2011,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,ACP,ACP,ACP,plain,False
ACSI,2016,2022,alpha_vantage_listing_status,ETF,Active,ACSI,ACSI,ACSI,plain,False
ACTV,2011,2022,alpha_vantage_listing_status,ETF,Active|Delisted,ACTV,ACTV,ACTV,plain,False
ACTX,2015,2021,alpha_vantage_listing_status,ETF,Active|Delisted,ACTX,ACTX,ACTX,plain,False
ACV,2015,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,ACV,ACV,ACV,plain,False
ACVF,2020,2022,alpha_vantage_listing_status,ETF,Active,ACVF,ACVF,ACVF,plain,False
ACWI,2010,2022,alpha_vantage_listing_status,ETF,Active,ACWI,ACWI,ACWI,plain,False
ACWV,2011,2022,alpha_vantage_listing_status,ETF,Active,ACWV,ACWV,ACWV,plain,False
ACWX,2010,2022,alpha_vantage_listing_status,ETF,Active,ACWX,ACWX,ACWX,plain,False
ADFI,2020,2022,alpha_vantage_listing_status,ETF,Active,ADFI,ADFI,ADFI,plain,False
ADIV,2021,2022,alpha_vantage_listing_status,ETF,Active,ADIV,ADIV,ADIV,plain,False
ADME,2016,2022,alpha_vantage_listing_status,ETF,Active,ADME,ADME,ADME,plain,False
ADPV,2022,2022,alpha_vantage_listing_status,ETF,Active,ADPV,ADPV,ADPV,plain,False
ADRA,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,ADRA,ADRA,ADRA,plain,False
ADRD,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,ADRD,ADRD,ADRD,plain,False
ADRE,2010,2022,alpha_vantage_listing_status,ETF,Active,ADRE,ADRE,ADRE,plain,False
ADRU,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,ADRU,ADRU,ADRU,plain,False
ADX,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,ADX,ADX,ADX,plain,False
ADZ,2010,2022,alpha_vantage_listing_status,ETF,Active,ADZ,ADZ,ADZ,plain,False
AEF,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,AEF,AEF,AEF,plain,False
AEMB,2021,2022,alpha_vantage_listing_status,ETF,Active,AEMB,AEMB,AEMB,plain,False
AESR,2019,2022,alpha_vantage_listing_status,ETF,Active,AESR,AESR,AESR,plain,False
AFB,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,AFB,AFB,AFB,plain,False
AFIF,2018,2022,alpha_vantage_listing_status,ETF,Active,AFIF,AFIF,AFIF,plain,False
AFK,2010,2022,alpha_vantage_listing_status,ETF,Active,AFK,AFK,AFK,plain,False
AFLG,2019,2022,alpha_vantage_listing_status,ETF,Active,AFLG,AFLG,AFLG,plain,False
AFMC,2019,2022,alpha_vantage_listing_status,ETF,Active,AFMC,AFMC,AFMC,plain,False
AFSM,2019,2022,alpha_vantage_listing_status,ETF,Active,AFSM,AFSM,AFSM,plain,False
AFT,2011,2022,alpha_vantage_listing_status,ETF,Active,AFT,AFT,AFT,plain,False
AFTY,2015,2022,alpha_vantage_listing_status,ETF,Active,AFTY,AFTY,AFTY,plain,False
AGA,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AGA,AGA,AGA,plain,False
AGC,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AGC,AGC,AGC,plain,False
AGD,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,AGD,AGD,AGD,plain,False
AGG,2010,2022,alpha_vantage_listing_status,ETF,Active,AGG,AGG,AGG,plain,False
AGGE,2016,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AGGE,AGGE,AGGE,plain,False
AGGH,2022,2022,alpha_vantage_listing_status,ETF,Active,AGGH,AGGH,AGGH,plain,False
AGGP,2016,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AGGP,AGGP,AGGP,plain,False
AGGY,2015,2022,alpha_vantage_listing_status,ETF,Active,AGGY,AGGY,AGGY,plain,False
AGIH,2022,2022,alpha_vantage_listing_status,ETF,Active,AGIH,AGIH,AGIH,plain,False
AGLS,2010,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AGLS,AGLS,AGLS,plain,False
AGND,2013,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AGND,AGND,AGND,plain,False
AGNG,2016,2022,alpha_vantage_listing_status,ETF,Active,AGNG,AGNG,AGNG,plain,False
AGOL,2011,2021,alpha_vantage_listing_status,ETF,Active|Delisted,AGOL,AGOL,AGOL,plain,False
AGOV,2021,2022,alpha_vantage_listing_status,ETF,Active,AGOV,AGOV,AGOV,plain,False
AGOX,2021,2022,alpha_vantage_listing_status,ETF,Active,AGOX,AGOX,AGOX,plain,False
AGQ,2010,2026,alpha_vantage_listing_status|runtime_symbols_txt,ETF,Active,AGQ,AGQ,AGQ,plain,False
AGRH,2022,2022,alpha_vantage_listing_status,ETF,Active,AGRH,AGRH,AGRH,plain,False
AGT,2017,2021,alpha_vantage_listing_status,ETF,Active,AGT,AGT,AGT,plain,False
AGZ,2010,2022,alpha_vantage_listing_status,ETF,Active,AGZ,AGZ,AGZ,plain,False
AGZD,2013,2022,alpha_vantage_listing_status,ETF,Active,AGZD,AGZD,AGZD,plain,False
AHHX,2021,2022,alpha_vantage_listing_status,ETF,Active,AHHX,AHHX,AHHX,plain,False
AHOY,2022,2022,alpha_vantage_listing_status,ETF,Active,AHOY,AHOY,AHOY,plain,False
AHYB,2021,2022,alpha_vantage_listing_status,ETF,Active,AHYB,AHYB,AHYB,plain,False
