symbol,first_snapshot_year,latest_snapshot_year,sources,asset_types,statuses,alpha_vantage_symbol,yahoo_symbol_candidate,local_symbol_candidate,symbol_suffix_type,needs_symbol_validation
AACB,2026,2026,runtime_symbols_txt,,Active,AACB,AACB,AACB,plain,False
AACBR,2026,2026,runtime_symbols_txt,,Active,AACBR,AACBR,AACBR,plain,False
AACBU,2026,2026,runtime_symbols_txt,,Active,AACBU,AACBU,AACBU,plain,False
AACO,2026,2026,runtime_symbols_txt,,Active,AACO,AACO,AACO,plain,False
AACOU,2026,2026,runtime_symbols_txt,,Active,AACOU,AACOU,AACOU,plain,False
AACP,2026,2026,runtime_symbols_txt,,Active,AACP,AACP,AACP,plain,False
AAMTF,2026,2026,runtime_symbols_txt,,Active,AAMTF,AAMTF,AAMTF,plain,False
AAPG,2026,2026,runtime_symbols_txt,,Active,AAPG,AAPG,AAPG,plain,False
AAPI,2026,2026,runtime_symbols_txt,,Active,AAPI,AAPI,AAPI,plain,False
AAQL,2026,2026,runtime_symbols_txt,,Active,AAQL,AAQL,AAQL,plain,False
AARD,2026,2026,runtime_symbols_txt,,Active,AARD,AARD,AARD,plain,False
AAS,2026,2026,runtime_symbols_txt,,Active,AAS,AAS,AAS,plain,False
AASP,2026,2026,runtime_symbols_txt,,Active,AASP,AASP,AASP,plain,False
AATC,2026,2026,runtime_symbols_txt,,Active,AATC,AATC,AATC,plain,False
AAUAF,2026,2026,runtime_symbols_txt,,Active,AAUAF,AAUAF,AAUAF,plain,False
AAUC,2026,2026,runtime_symbols_txt,,Active,AAUC,AAUC,AAUC,plain,False
AAUGF,2026,2026,runtime_symbols_txt,,Active,AAUGF,AAUGF,AAUGF,plain,False
AAVXF,2026,2026,runtime_symbols_txt,,Active,AAVXF,AAVXF,AAVXF,plain,False
AAWH,2026,2026,runtime_symbols_txt,,Active,AAWH,AAWH,AAWH,plain,False
ABAKF,2026,2026,runtime_symbols_txt,,Active,ABAKF,ABAKF,ABAKF,plain,False
ABAT,2026,2026,runtime_symbols_txt,,Active,ABAT,ABAT,ABAT,plain,False
ABBNY,2026,2026,runtime_symbols_txt,,Active,ABBNY,ABBNY,ABBNY,plain,False
ABCFF,2026,2026,runtime_symbols_txt,,Active,ABCFF,ABCFF,ABCFF,plain,False
ABCP,2026,2026,runtime_symbols_txt,,Active,ABCP,ABCP,ABCP,plain,False
