timestamp,symbol,status,row_count,first_date,last_date,output_path,error,yf_symbol,first_snapshot_year,latest_snapshot_year,statuses,asset_types,sources,symbol_suffix_type,sic,ff12,ff_label,has_price_csv,first_date_parsed,last_date_parsed,sic_numeric,ff12_numeric,sector_known,sector_allowed,price_quality,is_delisted_status,is_runtime_symbol,passes_first_cut,passes_loose_cut,sector_known_alias,non_stock_excluded,manual_quarantine,safe_backtest_symbol
2026-05-03T11:07:17.908918+00:00,TMTSU,success,56,2026-02-11,2026-05-01,/Users/hunglingki/git_projects/stock_indicator/data/stock_data_2010_yf_clean/TMTSU.csv,,TMTSU,2020,2026,Active|Delisted,Stock,alpha_vantage_listing_status|runtime_symbols_txt,plain,6770.0,11.0,Money,True,2026-02-11,2026-05-01,6770.0,11.0,True,False,short,True,True,False,False,True,True,False,False
2026-05-03T11:09:06.104703+00:00,TVACU,success,258,2025-04-23,2026-05-01,/Users/hunglingki/git_projects/stock_indicator/data/stock_data_2010_yf_clean/TVACU.csv,,TVACU,2020,2026,Active,Stock,alpha_vantage_listing_status|runtime_symbols_txt,plain,6770.0,11.0,Money,True,2025-04-23,2026-05-01,6770.0,11.0,True,False,usable_252_plus,False,True,False,False,True,True,False,False
2026-05-03T11:09:18.989248+00:00,TWLV,success,78,2026-01-09,2026-05-01,/Users/hunglingki/git_projects/stock_indicator/data/stock_data_2010_yf_clean/TWLV.csv,,TWLV,2021,2026,Active,Stock,alpha_vantage_listing_status|runtime_symbols_txt,plain,6770.0,11.0,Money,True,2026-01-09,2026-05-01,6770.0,11.0,True,False,short,False,True,False,False,True,True,False,False
2026-05-03T11:09:19.129984+00:00,TWLVU,success,96,2025-12-12,2026-05-01,/Users/hunglingki/git_projects/stock_indicator/data/stock_data_2010_yf_clean/TWLVU.csv,,TWLVU,2021,2026,Active,Stock,alpha_vantage_listing_status|runtime_symbols_txt,plain,6770.0,11.0,Money,True,2025-12-12,2026-05-01,6770.0,11.0,True,False,short,False,True,False,False,True,True,False,False
2026-05-03T11:10:28.822454+00:00,UROY,success,1259,2021-04-28,2026-05-01,/Users/hunglingki/git_projects/stock_indicator/data/stock_data_2010_yf_clean/UROY.csv,,UROY,2020,2026,Active,Stock,alpha_vantage_listing_status|runtime_symbols_txt,plain,6221.0,11.0,Money,True,2021-04-28,2026-05-01,6221.0,11.0,True,False,strong_1000_plus,False,True,False,False,True,True,False,False
2026-05-03T11:11:14.689485+00:00,VCI,success,1160,2017-07-07,2022-03-02,/Users/hunglingki/git_projects/stock_indicator/data/stock_data_2010_yf_clean/VCI.csv,,VCI,2010,2021,Active|Delisted,Stock,alpha_vantage_listing_status,plain,,,,True,2017-07-07,2022-03-02,,,False,False,strong_1000_plus,True,False,False,False,False,False,True,False
2026-05-03T11:12:25.266085+00:00,VMCAF,success,288,2025-03-11,2026-05-01,/Users/hunglingki/git_projects/stock_indicator/data/stock_data_2010_yf_clean/VMCAF.csv,,VMCAF,2022,2026,Active,Stock,alpha_vantage_listing_status|runtime_symbols_txt,plain,6770.0,11.0,Money,True,2025-03-11,2026-05-01,6770.0,11.0,True,False,usable_252_plus,False,True,False,False,True,True,False,False
2026-05-03T11:12:25.500617+00:00,VMCUF,success,1047,2022-03-01,2026-05-01,/Users/hunglingki/git_projects/stock_indicator/data/stock_data_2010_yf_clean/VMCUF.csv,,VMCUF,2022,2026,Active,Stock,alpha_vantage_listing_status|runtime_symbols_txt,plain,6770.0,11.0,Money,True,2022-03-01,2026-05-01,6770.0,11.0,True,False,strong_1000_plus,False,True,False,False,True,True,False,False
2026-05-03T11:12:25.690799+00:00,VMCWF,success,1,2025-09-02,2025-09-02,/Users/hunglingki/git_projects/stock_indicator/data/stock_data_2010_yf_clean/VMCWF.csv,,VMCWF,2022,2026,Active,Stock,alpha_vantage_listing_status|runtime_symbols_txt,plain,6770.0,11.0,Money,True,2025-09-02,2025-09-02,6770.0,11.0,True,False,single_row,False,True,False,False,True,True,False,False
2026-05-03T11:12:53.241562+00:00,VPS,success,1634,2015-08-19,2022-03-02,/Users/hunglingki/git_projects/stock_indicator/data/stock_data_2010_yf_clean/VPS.csv,,VPS,2017,2021,Delisted,Stock,alpha_vantage_listing_status,plain,,,,True,2015-08-19,2022-03-02,,,False,False,strong_1000_plus,True,False,False,False,False,False,True,False
