Date,close,high,low,open,volume
2010-01-04,2846515.5,2848657.347629797,2700869.861173815,2700869.861173815,0
2010-01-05,2810104.5,2887211.025914634,2735139.822027439,2852941.458841463,0
2010-01-06,2728713.25,2846514.842425432,2700869.237244898,2805819.7468602825,0
2010-01-07,2790827.75,2814388.076362241,2694444.5966999233,2760841.8800844206,0
2010-01-08,2792970.0,2816530.329754601,2688019.4401840493,2792970.0,0
2010-01-11,2790827.75,2812246.2285111286,2741565.2494244054,2812246.2285111286,0
2010-01-12,2688019.25,2775835.018326693,2634473.049800797,2775835.018326693,0
2010-01-13,2698728.25,2777976.619246032,2660174.9892857145,2692302.7065476193,0
2010-01-14,2703011.75,2780118.2658478604,2662316.644413629,2780118.2658478604,0
2010-01-15,2610912.75,2769409.504306809,2608770.901968827,2720146.999589828,0
2010-01-19,2724430.25,2737281.3360849055,2610912.3229166665,2610912.3229166665,0
2010-01-20,2628047.25,2705153.770782396,2595919.533007335,2703011.922982885,0
2010-01-21,2565934.25,2615196.760642738,2540232.0705342237,2615196.760642738,0
2010-01-22,2533806.75,2580927.4165257816,2518813.8106508874,2559508.9317413354,0
2010-01-25,2578784.5,2587351.8903654483,2523096.4626245843,2568075.2620431893,0
2010-01-26,2527380.0,2570216.9491525423,2482401.2033898304,2482401.2033898304,0
2010-01-27,2531665.0,2585211.2140439935,2488828.0287648058,2497395.4230118445,0
2010-01-28,2488827.5,2559508.4875215143,2437423.1454388984,2531664.4621342514,0
2010-01-29,2550940.25,2550940.25,2499535.912468514,2503819.6072628046,0
2010-02-01,2598061.75,2747991.117271228,2433139.446001649,2546657.3955070074,0
2010-02-02,2568076.0,2628047.7497914927,2568076.0,2606629.2677231026,0
2010-02-03,2527380.0,2677309.3220338984,2527380.0,2561649.559322034,0
2010-02-04,2520955.0,2660175.114698386,2520955.0,2527380.54375531,0
2010-02-05,2550940.25,2576642.4187657433,2548798.4026028547,2563791.3343828716,0
2010-02-08,2598061.75,2664459.0412201155,2452416.078936521,2550941.0917147566,0
2010-02-09,2583067.75,2628046.5416666665,2559507.4305555555,2628046.5416666665,0
2010-02-10,2583067.75,2621621.0,2557365.583333333,2563791.125,0
2010-02-11,2617338.0,2640898.3256955813,2557366.2618657937,2625905.3911620295,0
2010-02-12,2666601.25,2675168.643574297,2570218.0722891567,2593778.4046184737,0
2010-02-16,2640898.5,2670884.371046229,2572359.3661800483,2670884.371046229,0
2010-02-17,2593777.5,2675167.710569777,2550940.5470685386,2651607.3864574735,0
2010-02-18,2664458.25,2664458.25,2606628.368368167,2662316.402532154,0
