Date,close,high,low,open,volume
2022-03-16,19.25997543334961,19.25997543334961,18.91650014502593,19.156852809486352,75200
2022-03-17,19.299640655517578,19.315505910305706,18.84749148501374,19.275842773335388,111600
2022-03-18,19.323436737060547,19.35516573068619,19.236179356850826,19.331369363715414,29500
2022-03-21,19.267911911010742,19.418627294487795,19.19651977652414,19.355167787499038,98200
2022-03-22,19.339305877685547,19.355171135425497,19.172725210398806,19.18859046813876,99000
2022-03-23,19.466224670410156,19.51381892634191,19.27584462069491,19.347236761089597,162600
2022-03-24,19.593143463134766,19.62487246238259,19.40276341567142,19.434493927913344,168800
2022-03-25,19.553478240966797,19.62566318173929,19.490018736233605,19.59234705522891,141900
2022-03-28,19.672462463378906,19.672462463378906,19.444007968822625,19.59313922591676,44200
2022-03-29,19.75179100036621,19.81525051029774,19.632804608368847,19.632804608368847,104300
2022-03-30,19.823183059692383,19.903300633926513,19.747031042878373,19.783521433514952,35900
2022-03-31,19.69626235961914,19.98976351246701,19.672464478146956,19.82318136814959,778400
2022-04-01,19.69626235961914,19.82318136814959,19.59314123256087,19.783519745356546,21000
2022-04-04,19.886640548706055,19.886640548706055,19.688329411981034,19.688329411981034,38900
2022-04-05,19.854909896850586,19.95009838725928,19.791450398913533,19.910436768421288,34900
2022-04-06,19.759721755981445,19.831113887014208,19.68832962494868,19.75178912886737,63800
2022-04-07,19.783517837524414,19.89457158103056,19.751787331954784,19.815246830100264,50200
2022-04-08,19.831113815307617,19.843011999438747,19.755756127487256,19.82318118822222,31000
2022-04-11,19.61693572998047,19.91043685483427,19.1965171216955,19.82317947741945,29400
2022-04-12,19.712127685546875,19.79145244441507,19.605039488023902,19.613764924030555,11600
2022-04-13,19.910436630249023,19.910436630249023,19.66453126657367,19.66453126657367,47700
2022-04-14,19.815248489379883,19.91043850106597,19.712127363631037,19.91043850106597,10900
2022-04-18,19.831113815307617,19.934234941429892,19.62487005006915,19.9318565149988,14500
2022-04-19,19.767654418945312,19.950100303918177,19.672464406397687,19.83111392297909,27500
2022-04-20,19.79145050048828,19.910436870606706,19.672462617376077,19.89457161779257,34200
2022-04-21,19.609006881713867,19.87077755140079,19.47415523290581,19.791454298097054,23700
2022-04-22,19.323436737060547,19.74385535881175,19.196517736570314,19.642319855820798,8000
2022-04-25,19.10133171081543,19.323440764462337,19.077533825890857,19.323440764462337,25600
2022-04-26,19.03786849975586,19.101328000901958,18.903016870696167,19.101328000901958,16800
2022-04-27,19.482084274291992,19.672462770562674,19.06166566240024,19.101327281750628,291000
2022-04-28,19.593143463134766,19.593143463134766,19.33930390418167,19.450359184034305,15600
2022-04-29,19.505882263183594,19.67246288098277,19.505882263183594,19.593139641836764,32300
2022-05-02,19.25997543334961,19.58679114816236,18.8950822063627,18.8950822063627,21800
2022-05-03,18.926816940307617,19.378173318528653,18.83162692108069,18.96647856573899,28600
2022-05-04,18.89508628845215,19.236181711393005,18.879221033200476,19.18065483100617,3900
2022-05-05,19.172719955444336,19.355165830465353,18.863355079278797,19.315504209980382,13000
2022-05-06,19.196517944335938,19.267910072008604,19.037868435509154,19.267910072008604,5500
2022-05-09,19.077529907226562,19.339300535650676,19.03786828682654,19.196517794414298,12100
2022-05-10,19.34723472595215,19.355167353272027,18.759441112393016,19.037869825446705,71500
2022-05-11,19.156856536865234,19.315506059987996,19.053735405931228,19.196519674142916,14100
2022-05-12,19.228248596191406,19.39483074612186,19.053735331830246,19.184619901852624,13700
2022-05-13,19.1251220703125,19.39482527469054,19.021999455877253,19.156851058066273,7600
2022-05-16,19.25997543334961,19.505880784649115,19.2330048078473,19.363096544219182,14800
2022-05-17,19.10133171081543,19.46622504802148,19.03787219734405,19.46622504802148,19400
2022-05-18,18.839557647705078,19.429731168376748,18.72691676673375,19.429731168376748,7600
2022-05-19,18.720571517944336,19.22031491433159,18.641246761043245,18.744367885918937,4200
2022-05-20,18.546056747436523,19.156855408593056,18.546056747436523,18.827659710043687,7100
2022-05-23,18.395341873168945,19.09736349426399,18.343780552841576,18.625382010101788,11700
2022-05-24,18.51432991027832,18.88318878675898,18.395343517573544,18.522262538191182,78100
2022-05-25,18.78403091430664,18.96647679504843,18.484977081774016,18.57778715273136,8900
2022-05-26,19.30756950378418,19.466218994624583,18.496079884834966,18.88714941215269,11800
2022-05-27,19.664531707763672,19.720058580194824,19.307571080715125,19.307571080715125,7400
2022-05-31,19.961088180541992,20.061820355610873,19.743506313500962,19.799916085611375,19900
2022-06-01,19.767684936523438,19.969149310587696,19.621824926443466,19.969149310587696,4900
2022-06-02,19.8724422454834,20.106141616149014,19.469513568102062,19.469513568102062,12200
2022-06-03,19.8724422454834,20.065847826180327,19.743505191685443,19.743505191685443,6300
2022-06-06,19.743507385253906,20.04973253778393,19.743507385253906,19.944971746327923,5100
2022-06-07,19.59039306640625,19.896619740761427,19.469514763182268,19.469514763182268,7100
2022-06-08,19.759624481201172,20.154494436030383,19.47757407430857,20.07632616723114,6100
2022-06-09,19.622629165649414,19.85632702629616,19.622629165649414,19.85632702629616,7000
2022-06-10,19.364749908447266,19.524309604072055,19.300281391135755,19.485628186275008,21000
2022-06-13,18.88929557800293,19.316398964096,18.88929557800293,19.147169668561197,5300
2022-06-14,19.018232345581055,19.33251619672847,18.86511903015376,19.08270086727926,11100
2022-06-15,19.22775650024414,19.68709493515343,18.7821162628289,19.08673054442317,9600
2022-06-16,18.92233657836914,19.179403724797684,18.776475062200664,19.179403724797684,10100
2022-06-17,19.21164321899414,19.703216793425128,18.96988658008942,19.02629636003044,15700
2022-06-21,19.163284301757812,19.54364898924823,19.163284301757812,19.54364898924823,18600
2022-06-22,19.11493682861328,19.340577452227627,18.85383951256812,19.074644573741537,9200
2022-06-23,19.002120971679688,19.340581204235868,19.002120971679688,19.28900698503073,4100
2022-06-24,19.090763092041016,19.340578466863704,19.047246101891687,19.207611252119495,4200
2022-06-27,19.17940330505371,19.405043904508176,19.098818803938606,19.098818803938606,13900
2022-06-28,19.405046463012695,19.542042284842083,19.0488579410767,19.380870187260086,17500
2022-06-29,19.3566951751709,19.485632236595016,19.227758113746777,19.227758113746777,2400
2022-06-30,19.904678344726562,20.049731385238662,19.25999150411843,19.25999150411843,172900
2022-07-01,19.679040908813477,20.02555989202065,19.679040908813477,19.83215426961342,23400
2022-07-05,19.767684936523438,19.977208069996408,19.590395303634125,19.646805082443926,23800
2022-07-06,19.61457061767578,19.904679793923933,19.39779415027559,19.904679793923933,50900
2022-07-07,19.81603240966797,19.904677210248842,19.554128155434068,19.679036598338854,6300
2022-07-08,19.864383697509766,19.896618729825526,19.638744619503193,19.638744619503193,12900
2022-07-11,19.662921905517578,19.880503790700445,19.610540739739967,19.864386272453313,25200
2022-07-12,19.64680290222168,19.908707174261956,19.64680290222168,19.904678563530254,17200
2022-07-13,19.622629165649414,19.85632702629616,19.107686305577765,19.85632702629616,13000
2022-07-14,19.56218719482422,19.56218719482422,19.06658510063494,19.47354393001903,2700
2022-07-15,19.54203987121582,19.582332122109328,19.340575542646587,19.574274901571304,12000
2022-07-18,19.598451614379883,19.711271157903624,19.501749587659816,19.501749587659816,2600
2022-07-19,19.45339584350586,19.598450411735794,19.433249717263013,19.598450411735794,1600
2022-07-20,19.719327926635742,19.890976542878754,19.582332121729287,19.727386684224456,18900
2022-07-21,19.783798217773438,19.912735276610377,19.634715031690284,19.73544720497233,11400
2022-07-22,19.767684936523438,19.8845331053218,19.630689100677692,19.8845331053218,5400
2022-07-25,19.719327926635742,19.81603148064947,19.441307706553896,19.513834987801484,4800
2022-07-26,19.477571487426758,19.903869468698662,19.356693196827344,19.6226260509664,47900
2022-07-27,19.50174903869629,19.582333546344266,19.421162993997353,19.542041292520278,13000
2022-07-28,19.783798217773438,19.92079403491906,19.42116331618866,19.501749362224494,42400
2022-07-29,19.50174903869629,19.687095865568168,19.397792134174598,19.522700580310495,160600
2022-08-01,19.73544692993164,19.928852515491677,19.485631574047964,19.485631574047964,31400
2022-08-02,20.025554656982422,20.13837418963078,19.74350428831067,19.751563045935676,36600
2022-08-03,20.146434783935547,20.146434783935547,19.910319158495405,20.13031726721616,18400
2022-08-04,20.146434783935547,20.146434783935547,19.828120745457127,20.065848737389604,18900
2022-08-05,20.10614776611328,20.138381270896723,20.10614776611328,20.138381270896723,1400
2022-08-08,20.039257049560547,20.283431443490976,19.907095251439483,19.99977020789547,26000
2022-08-09,20.09808349609375,20.146434508539972,19.90467790925788,19.90467790925788,9400
2022-08-10,20.09808349609375,20.267312808181018,20.025556208898927,20.178669541538103,19500
2022-08-11,20.090024948120117,20.098083706454,20.025556418500056,20.057789914784593,1800
2022-08-12,20.267311096191406,20.291487368897823,20.130315291623397,20.170609079467425,18800
2022-08-15,20.444604873657227,20.444604873657227,20.146436930779185,20.25925648573518,48600
2022-08-16,20.347902297973633,20.50101565653075,20.154496678399436,20.436547116672685,41900
2022-08-17,20.146434783935547,20.42042641996115,20.13837602557585,20.231049441135838,6400
2022-08-18,20.061824798583984,20.146439475488712,20.033619906282407,20.033619906282407,2200
2022-08-19,19.96915054321289,20.144826283192632,19.944974263494434,20.144826283192632,2500
2022-08-22,19.485633850097656,20.025558415913594,19.40504779577192,20.025558415913594,3200
