Date,close,high,low,open,volume
2010-01-04,3.7019402980804443,3.7057506609944357,3.5857187082449644,3.6200137772329253,179705
2010-01-05,3.686697483062744,3.7133713721897026,3.675265945062748,3.692413364735355,129477
2010-01-06,3.6485912799835205,3.707654698355813,3.623822691544775,3.692412351411868,130345
2010-01-07,3.64096999168396,3.6733597525731816,3.6066751628319915,3.6485911649155787,196944
2010-01-08,3.7000339031219482,3.703844490247474,3.6219177684294226,3.6219177684294226,77388
2010-01-11,3.7705273628234863,3.7705273628234863,3.700032430440305,3.7324219574252644,185782
2010-01-12,3.713369846343994,3.7857698577213412,3.71146455323602,3.741948792273338,184294
2010-01-13,3.7610015869140625,3.772433119802068,3.7057485394775127,3.734327709715215,130221
2010-01-14,3.7762444019317627,3.7895816818031482,3.757191917584689,3.7590969857432515,176108
2010-01-15,3.7876763343811035,3.8048237513456917,3.705749611392923,3.785770815445937,364123
2010-01-19,3.8086342811584473,3.8086342811584473,3.7590970992556163,3.8029181751294283,300252
2010-01-20,3.7876763343811035,3.8010131641657408,3.749570913271976,3.76862362382654,166435
2010-01-21,3.713369846343994,3.8010122025851345,3.7038436061492575,3.791485962390398,446720
2010-01-22,3.7267072200775146,3.791486289964841,3.70955980596939,3.720991340259755,243575
2010-01-25,3.7095606327056885,3.8067294845375,3.6924129894307773,3.753381711705962,224352
2010-01-26,3.64096999168396,3.722896477198072,3.5838120938274507,3.720991409235325,469788
2010-01-27,3.6981282234191895,3.7019390357242083,3.616201730508494,3.616201730508494,334730
2010-01-28,3.7438549995422363,3.7800551245637823,3.633349105673902,3.6943178203110443,434566
2010-01-29,3.736233949661255,3.7838656116689764,3.7095602910473895,3.7629078336203032,122160
2010-02-01,3.6619293689727783,3.791487785185569,3.635255477982538,3.7362349345263675,246180
2010-02-02,3.6295387744903564,3.6619283128660425,3.604770184667385,3.6581177259170965,248040
2010-02-03,3.614297389984131,3.650497522699877,3.595244676694516,3.614297389984131,101820
2010-02-04,3.5838115215301514,3.6371590495969657,3.5800007101777314,3.597148121865453,348372
2010-02-05,3.522841691970825,3.587620731945244,3.477115125234136,3.587620731945244,990672
