ticker,cik,sic,ff12,ff48,ff49,ff_label,ff12_source,classification_confidence,classification_issue,secondary_sector,secondary_industry,secondary_source,secondary_reason,sic_desc
ABOS,1576885,2836.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ABPWW,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ABR,1253986,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ABSI,1672688,8731.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ABT,1800,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ABTC,1755953,6199.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ABTS,1864055,6199.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ABUS,1447028,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ABVC,1173313,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ABVE,1979484,2000.0,1,-1,-1,NoDur,sic_mapping,high,,,,,,
ABVX,1956827,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ABX,1814287,6282.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ABXL,1814287,6282.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ACA,1739445,3440.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
ACAD,1070494,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ACAT,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ACB,1683541,2833.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ACCL,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ACCO,712034,2780.0,1,-1,-1,NoDur,sic_mapping,high,,,,,,
ACCS,843006,8742.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ACDC,1881487,1389.0,4,-1,-1,Enrgy,sic_mapping,high,,,,,,
ACEL,1698991,7900.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ACET,1720580,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ACFN,880984,8711.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ACGL,947484,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ACGLN,947484,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ACGLO,947484,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ACH,75252,5047.0,9,-1,-1,Shops,sic_mapping,high,,,,,,
ACHC,1520697,8093.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ACHR,1824502,3721.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
ACHV,949858,2835.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ACI,1646972,5411.0,9,-1,-1,Shops,sic_mapping,high,,,,,,
ACIC,1401521,6331.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ACIU,1651625,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ACIW,935036,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ACLS,1113232,3559.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
ACLX,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACM,868857,8711.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ACMR,1680062,3559.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
ACN,1467373,7389.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ACNB,715579,6022.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ACNT,95953,2800.0,5,-1,-1,Chems,sic_mapping,high,,,,,,
ACOG,1655923,2836.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ACON,1635077,8071.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ACONW,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACR,1332551,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ACRE,1529377,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ACRS,1557746,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ACRV,1781174,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ACT,1823529,6411.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ACTG,934549,6794.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ACTU,1652935,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ACU,2098,3420.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
ACVA,1637873,7389.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ACXP,1736243,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AD,821130,4812.0,7,-1,-1,Telcm,sic_mapping,high,,,,,,
ADAG,1818838,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ADAM,1273685,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ADAMG,1273685,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ADAMI,1273685,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ADAML,1273685,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ADAMM,1273685,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ADAMN,1273685,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ADAMZ,1273685,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ADBE,796343,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ADC,917251,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ADCT,1771910,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ADEA,1803696,4841.0,7,-1,-1,Telcm,sic_mapping,high,,,,,,
ADGM,2006986,3841.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ADI,6281,3674.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ADIL,1513525,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ADM,7084,2070.0,1,-1,-1,NoDur,sic_mapping,high,,,,,,
ADMA,1368514,2836.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ADNT,1670541,3714.0,2,-1,-1,Durbl,sic_mapping,high,,,,,,
ADP,8670,7374.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ADPT,1478320,2836.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ADSE,1879248,3790.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
ADSEW,,,3,-1,-1,Manuf,legacy_backtest,high,,,,,,
ADSK,769397,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ADT,1703056,7381.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ADTN,926282,3661.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
ADTX,1726711,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ADUR,1863934,2800.0,5,-1,-1,Chems,sic_mapping,high,,,,,,
ADUS,1468328,8082.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ADV,1776661,7389.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
ADVB,1941029,8071.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ADXN,1574232,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
