symbol,first_eligible_trade_date,source,notes
BEEP,2024-08-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BEKE,2021-08-13,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BELFA,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BELFB,1999-07-12,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BEN,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BEP,2006-11-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BEPC,2021-07-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BEPH,2022-04-16,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BEPI,2022-12-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BERZ,2022-08-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BETR,2022-04-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BFAM,2014-01-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BFC,2004-10-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BFH,2002-06-21,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BFLY,2021-07-13,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BFRI,2022-10-31,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BFS,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BFST,2019-04-24,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BG,2002-08-08,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BGC,2000-12-09,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BGI,2006-11-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BGLC,2022-01-08,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BGMS,2005-03-16,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BGS,2008-05-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BGSF,2015-04-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BH,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHB,1998-09-23,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHC,1995-03-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHE,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHF,2018-07-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHFAL,2019-09-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHFAM,2022-11-11,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHFAN,2021-11-11,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHFAO,2021-05-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHFAP,2020-03-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHM,2023-09-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHP,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHR,2014-11-06,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHRB,2004-10-07,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BHVN,2023-09-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BIAF,2023-09-05,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BIDU,2006-08-07,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BIIB,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BILI,2019-03-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BILL,2020-12-11,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BIO,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BIOA,2025-09-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BIOX,2019-03-25,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BIP,2009-01-09,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BIPC,2021-03-31,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BIPH,2022-05-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BIPI,2023-01-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BIRD,2022-11-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BIVI,2021-09-20,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BJ,2019-07-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BJDX,2022-11-10,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BJRI,1997-10-09,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BK,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BKD,2006-11-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BKE,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BKH,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BKKT,2021-11-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BKNG,2000-03-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BKR,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BKSY,2020-12-21,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BKTI,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BKU,2012-01-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BKYI,1998-02-23,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BL,2017-10-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLBD,2015-03-20,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLCO,2023-05-09,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLD,2016-06-16,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLDP,1996-11-07,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLDR,2006-06-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLFS,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLFY,2022-07-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLIN,2008-06-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLK,2000-09-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLKB,2005-07-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLMN,2013-08-12,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLND,2022-07-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLNE,2018-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLNK,2010-12-21,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLRX,2012-07-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLTE,2023-05-02,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLX,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BLZE,2022-11-11,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BMA,2007-03-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BMBL,2022-02-11,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BMEA,2022-04-16,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BMEZ,2021-01-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BMI,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BMN,2023-10-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BMO,1995-10-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BMR,2024-02-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BMRA,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BMRC,2000-12-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BMRN,2000-07-25,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BMY,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BN,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNBX,2004-07-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNC,2015-03-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNED,2016-07-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNGO,2019-08-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNH,2021-10-21,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNJ,2021-11-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNKK,2021-11-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNL,2021-09-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNR,2021-06-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNRG,2023-05-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNS,2003-06-09,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNT,2022-06-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNTC,2015-06-24,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNTX,2020-10-09,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BNZI,2022-02-12,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BOC,2018-06-13,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BODI,2022-01-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BOH,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BOKF,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BOLD,2025-04-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BOLT,2022-02-05,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BON,2022-06-24,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BOOM,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BOOT,2015-10-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BORR,2020-07-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BOSC,1997-04-02,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BOTJ,2001-08-10,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BOX,2016-01-25,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BP,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BPOP,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BPOPM,2009-11-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BPRN,2018-05-31,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BPYPM,2022-07-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BPYPN,2021-02-10,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BPYPO,2020-08-20,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BPYPP,2020-03-13,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BQ,2021-09-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BR,2008-03-24,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRAG,2019-03-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRBR,2020-10-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRBS,2013-09-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRC,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRCC,2023-02-13,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRFH,2013-05-16,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRID,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRKR,2001-08-06,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRLS,2022-10-06,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRLT,2022-09-23,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRN,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRNS,2022-04-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRO,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BROS,2022-09-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRQSF,2016-11-04,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRSL,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRSP,2019-02-04,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRT,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRTX,2013-12-05,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRW,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRX,2014-10-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BRZE,2022-11-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BSAC,1995-10-31,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BSBK,2021-01-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BSBR,2010-10-07,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BSET,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BSLK,2022-05-07,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BSM,2016-04-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BSRR,1995-04-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BSTZ,2020-06-25,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BSVN,2019-09-23,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BSX,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BSY,2021-09-23,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTAI,2019-03-11,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTBD,2022-11-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTBT,2019-03-21,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTCS,2011-11-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTCT,2019-10-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTCY,2017-02-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTDR,2022-07-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTE,2007-04-04,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTG,2009-06-24,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTI,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTMD,2022-04-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTOG,2020-08-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTU,2018-04-04,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BTX,2022-03-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BUD,2010-07-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BULZ,2022-08-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BUR,2021-10-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BURL,2014-10-02,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BUSE,1999-10-06,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BV,2019-07-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BVFL,2006-02-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BVN,1997-05-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BVS,2022-02-11,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BW,2016-06-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BWA,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BWAY,2020-04-17,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BWB,2019-03-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BWBBP,2022-08-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BWEN,2006-11-10,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BWFG,2011-04-05,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BWIN,2020-10-23,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BWLP,2015-01-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BWMN,2022-05-07,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BWMX,2020-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BWNB,2022-12-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BWXT,2011-08-02,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BX,2008-06-23,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BXC,2005-12-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BXMT,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BXP,1998-06-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BXSL,2022-10-28,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BY,2018-07-02,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BYD,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BYFC,1997-01-08,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BYND,2020-05-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BYRN,2007-09-13,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BYSI,2018-03-09,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BZ,2022-06-11,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BZAI,2023-02-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BZFD,2022-03-05,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BZH,1995-02-23,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
BZUN,2016-05-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
C,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAAP,2019-02-04,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAAS,2004-03-23,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CABA,2020-10-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CABO,2016-06-10,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAC,1998-10-08,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CACC,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CACI,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CADL,2022-07-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAE,2003-07-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAG,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAH,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAKE,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAL,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CALC,2024-06-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CALM,1997-12-12,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CALX,2011-03-24,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CALY,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAMT,2001-07-30,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAN,2020-11-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CANF,2013-11-06,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CANG,2019-07-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAPL,2013-10-29,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAPR,2008-02-13,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAPS,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAR,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CARE,2008-03-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CARG,2018-10-12,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CARR,2021-03-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CARS,2018-06-01,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CART,2024-09-19,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CARV,1995-10-25,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CASH,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CASS,1997-07-02,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CASY,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CAT,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CATO,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CATX,2006-11-10,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CATY,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CB,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBAN,1999-04-05,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBAT,2006-02-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBFV,2004-10-07,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBIO,2015-01-12,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBL,2022-11-02,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBNK,2019-09-27,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBOE,2011-06-15,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBRE,2005-06-10,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBRL,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBSH,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBT,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBU,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CBZ,1996-04-26,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CC,2016-06-20,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CCAP,2021-02-02,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CCB,2019-07-22,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CCBG,1995-06-06,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CCC,2021-10-05,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CCCC,2021-10-04,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CCEL,1995-04-04,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CCEP,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CCG,2024-09-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CCI,1999-08-18,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CCJ,1997-03-14,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
CCK,1995-01-03,price_history_first_bar_quarantine,First local price bar plus 365 calendar days and 252 trading bars
