symbol,status,latest_date,row_count,futu_basic_available,futu_stock_type,futu_exchange_type,futu_name,final_futu_history_status,final_futu_latest_date,final_futu_history_rows,final_futu_error
AMPWF,empty_csv,,0,True,WARRANT,US_PINK,ARDAGH METAL PACKAGING SA C/WTS 04/08/2026 (TO PUR COM),history_error,,0.0,Do not support OTC market data AMPWF
AMTU,empty_csv,,0,True,STOCK,US_NASDAQ,Amatuhi Holdings,history_empty,,0.0,
AMVIF,stale_csv,2026-05-20,51,False,,,,not_in_futu_basicinfo,,0.0,
ANJFY,empty_csv,,0,True,STOCK,US_PINK,ANJOY FOODS GROUP CO LTD UNSPON ADS EACH REP 1 ORD H,history_error,,0.0,Do not support OTC market data ANJFY
APAD,stale_csv,2026-05-07,130,True,STOCK,US_NASDAQ,AParadise Acquisition,history_stale,2026-05-07,115.0,
APAT,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
APEX,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
APLS,stale_csv,2026-05-15,136,True,STOCK,US_NASDAQ,Apellis Pharmaceuticals,history_stale,2026-05-13,120.0,
APNA,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
APTN,stale_csv,2026-05-20,2,True,STOCK,US_PINK,ADAPTIN BIO INC.,history_error,,0.0,Do not support OTC market data APTN
APUR,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
ARCL,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
ARSTY,stale_csv,2026-05-11,17,True,STOCK,US_PINK,ARISTON HLDG NV USPN ADS EACH REP 4 ORD,history_error,,0.0,Do not support OTC market data ARSTY
ASBHY,empty_csv,,0,True,STOCK,US_PINK,ASAHI GROUP HLDGS,history_error,,0.0,Do not support OTC market data ASBHY
ASKRY,empty_csv,,0,True,STOCK,US_PINK,ASKER HEALTHCARE GROUP AB UNSPON ADS EACH REP ONE ORD SHS,history_error,,0.0,Do not support OTC market data ASKRY
ATAYY,missing_csv,,0,True,STOCK,US_PINK,AMERICAN TUNGSTEN AND ANTIMONY LTD. SPON ADS EACH REP 100 ORD SHS,history_error,,0.0,Do not support OTC market data ATAYY
ATVK,stale_csv,2026-05-20,27,True,STOCK,US_PINK,Ameritek Ventures,history_error,,0.0,Do not support OTC market data ATVK
AUIWF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
AVPKS,empty_csv,,0,True,STOCK,US_PINK,ARRIVED HOMES 5 LLC,history_error,,0.0,Do not support OTC market data AVPKS
AVSBS,stale_csv,2026-05-11,2,True,STOCK,US_PINK,ARRIVED HOMES 5 LLC,history_error,,0.0,Do not support OTC market data AVSBS
AWATY,stale_csv,2025-11-19,2,True,STOCK,US_PINK,AIR WATER INC UNSPON ADS EACH REP 1 COM,history_error,,0.0,Do not support OTC market data AWATY
AYR,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
AZBLY,stale_csv,2026-05-13,4,True,STOCK,US_PINK,AZBIL CORP UNSPON ADS EA REP 2 COM,history_error,,0.0,Do not support OTC market data AZBLY
AZUXY,empty_csv,,0,True,STOCK,US_PINK,AZUL SA SPON ADS EACH REP 2 ORD,history_error,,0.0,Do not support OTC market data AZUXY
BBAAY,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BCAEF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BCEIF,stale_csv,2026-03-27,3,False,,,,not_in_futu_basicinfo,,0.0,
BCENF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BCLGY,missing_csv,,0,True,STOCK,US_PINK,BALTIC CLASSIFIEDS GROUP PLC SPONSORED ADS EACH REP 4 ORD SHS,history_error,,0.0,Do not support OTC market data BCLGY
BDTB,stale_csv,2026-03-11,1,True,STOCK,US_PINK,BODHI TREE BIOTECHNOLOGY INC,history_error,,0.0,Do not support OTC market data BDTB
BGFR,empty_csv,,0,True,STOCK,US_PINK,BESTGOFER INC,history_error,,0.0,Do not support OTC market data BGFR
BGHL,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BGTCF,stale_csv,2026-02-26,3,False,,,,not_in_futu_basicinfo,,0.0,
BHTGY,missing_csv,,0,True,STOCK,US_PINK,BEIJING HAIZHI TECH GROUP CO LTD UNSPON ADS EACH REP 1 ORD H,history_error,,0.0,Do not support OTC market data BHTGY
BIOT,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BIREY,empty_csv,,0,True,STOCK,US_PINK,BIRCHCLIFF ENERGY UNSPON ADS EACH REP 3 COM,history_error,,0.0,Do not support OTC market data BIREY
BKFDF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BKPA,empty_csv,,0,True,STOCK,US_PINK,BROOKFIELD CORPORATION PREF SHS CL A SER 4,history_error,,0.0,Do not support OTC market data BKPA
BKPOY,empty_csv,,0,True,STOCK,US_PINK,BANK POLSKA KASA OPIEKI SA UNSPON ADS EACH REP 0.25 ORD,history_error,,0.0,Do not support OTC market data BKPOY
BLDC,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BLMOY,stale_csv,2026-05-20,48,True,STOCK,US_PINK,BELIMO HOLDING AG UNSPON ADS EACH REP 0.01 ORD,history_error,,0.0,Do not support OTC market data BLMOY
BLNH,stale_csv,2026-05-01,11,True,STOCK,US_PINK,BLUE LINE HLDGS INC,history_error,,0.0,Do not support OTC market data BLNH
BLTG,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BORAY,stale_csv,2026-05-19,29,True,STOCK,US_PINK,BORA PHARMACEUTICALS CO LTD SPON ADS EACH REP 0.2 ORD,history_error,,0.0,Do not support OTC market data BORAY
BPPFF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BRBF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BRETF,stale_csv,2026-05-19,48,False,,,,not_in_futu_basicinfo,,0.0,
BRFAF,stale_csv,2026-04-17,2,False,,,,not_in_futu_basicinfo,,0.0,
BRFCF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BRGX,stale_csv,2026-05-20,70,True,STOCK,US_PINK,BIOREGENX INC,history_error,,0.0,Do not support OTC market data BRGX
BROXF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BSTR,missing_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BSTT,empty_csv,,0,True,STOCK,US_PINK,BLACKSTONE REIT INC,history_error,,0.0,Do not support OTC market data BSTT
BTLWF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BUHHF,empty_csv,,0,False,,,,not_in_futu_basicinfo,,0.0,
BUHPY,empty_csv,,0,True,STOCK,US_PINK,BUHPY,history_error,,0.0,Do not support OTC market data BUHPY
