ticker,cik,sic,ff12,ff48,ff49,ff_label,ff12_source,classification_confidence,classification_issue,secondary_sector,secondary_industry,secondary_source,secondary_reason,sic_desc
A,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
AA,,,3,-1,-1,Manuf,legacy_backtest,high,,,,,,
AACG,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AAL,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AAME,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AAMI,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AAOI,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
AAON,,,3,-1,-1,Manuf,legacy_backtest,high,,,,,,
AAP,,,9,-1,-1,Shops,legacy_backtest,high,,,,,,
AAPL,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
AAT,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AB,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ABBV,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ABCB,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ABCL,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ABEO,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ABEV,,,1,-1,-1,NoDur,legacy_backtest,high,,,,,,
ABG,,,9,-1,-1,Shops,legacy_backtest,high,,,,,,
ABLV,,,9,-1,-1,Shops,legacy_backtest,high,,,,,,
ABM,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ABNB,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ABOS,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ABPWW,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ABR,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ABSI,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ABT,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ABTS,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ABUS,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ABVC,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACA,,,3,-1,-1,Manuf,legacy_backtest,high,,,,,,
ACAD,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACAT,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ACB,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACCL,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ACCO,,,1,-1,-1,NoDur,legacy_backtest,high,,,,,,
ACCS,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ACDC,,,4,-1,-1,Enrgy,legacy_backtest,high,,,,,,
ACEL,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ACET,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACGL,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ACGLN,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ACGLO,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ACH,,,9,-1,-1,Shops,legacy_backtest,high,,,,,,
ACHC,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACHR,,,3,-1,-1,Manuf,legacy_backtest,high,,,,,,
ACHV,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACI,,,9,-1,-1,Shops,legacy_backtest,high,,,,,,
ACIC,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ACIU,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACIW,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
ACLS,,,3,-1,-1,Manuf,legacy_backtest,high,,,,,,
ACLX,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACM,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ACMR,,,3,-1,-1,Manuf,legacy_backtest,high,,,,,,
ACN,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ACNB,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ACNT,,,5,-1,-1,Chems,legacy_backtest,high,,,,,,
ACON,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACONW,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACR,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ACRE,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ACRS,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACRV,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ACT,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ACTG,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ACU,,,3,-1,-1,Manuf,legacy_backtest,high,,,,,,
ACVA,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ACXP,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
AD,,,7,-1,-1,Telcm,legacy_backtest,high,,,,,,
ADAG,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ADAM,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ADAML,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ADAMM,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ADAMN,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ADAMZ,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ADBE,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
ADC,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
ADCT,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ADEA,,,7,-1,-1,Telcm,legacy_backtest,high,,,,,,
ADI,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
ADIL,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ADM,,,1,-1,-1,NoDur,legacy_backtest,high,,,,,,
ADMA,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ADNT,,,2,-1,-1,Durbl,legacy_backtest,high,,,,,,
ADP,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
ADPT,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ADSE,,,3,-1,-1,Manuf,legacy_backtest,high,,,,,,
ADSEW,,,3,-1,-1,Manuf,legacy_backtest,high,,,,,,
ADSK,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
ADT,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ADTN,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
ADTX,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ADUS,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ADV,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
ADXN,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
AEAE,,,2,-1,-1,Durbl,legacy_backtest,high,,,,,,
AEAEU,,,2,-1,-1,Durbl,legacy_backtest,high,,,,,,
AEAEW,,,2,-1,-1,Durbl,legacy_backtest,high,,,,,,
AEC,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AED,,,9,-1,-1,Shops,legacy_backtest,high,,,,,,
AEE,,,8,-1,-1,Utils,legacy_backtest,high,,,,,,
AEFC,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AEG,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AEHL,,,7,-1,-1,Telcm,legacy_backtest,high,,,,,,
AEHR,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
AEI,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AEIS,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
AEM,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AEMD,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
AENT,,,9,-1,-1,Shops,legacy_backtest,high,,,,,,
AENTW,,,9,-1,-1,Shops,legacy_backtest,high,,,,,,
AEO,,,9,-1,-1,Shops,legacy_backtest,high,,,,,,
AEON,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
AEP,,,8,-1,-1,Utils,legacy_backtest,high,,,,,,
AER,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AERO,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AERT,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AERTW,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AES,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AEVA,,,2,-1,-1,Durbl,legacy_backtest,high,,,,,,
AEYE,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
AFBI,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AFCG,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AFG,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AFGB,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AFGC,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AFGD,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AFGE,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AFL,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AFRI,,,1,-1,-1,NoDur,legacy_backtest,high,,,,,,
AFRIW,,,1,-1,-1,NoDur,legacy_backtest,high,,,,,,
AFRM,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AFYA,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AG,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AGAE,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AGCO,,,3,-1,-1,Manuf,legacy_backtest,high,,,,,,
AGEN,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
AGI,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AGIG,,,4,-1,-1,Enrgy,legacy_backtest,high,,,,,,
AGIO,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
AGL,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
AGM,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AGM-A,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AGMH,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
AGNC,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AGNCL,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AGNCM,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AGNCN,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AGNCO,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AGNCP,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AGO,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AGPU,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
AGRO,,,1,-1,-1,NoDur,legacy_backtest,high,,,,,,
AGX,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AGYS,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
AHCO,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
AHG,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
AHRT,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AHT,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AI,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
AIFF,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
AIFU,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AIG,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AIHS,,,12,-1,-1,Other,legacy_backtest,high,,,,,,
