recent20_density_t0.15,recent20_vw_density_t0.15,recent20_density_t0.1,recent20_vw_density_t0.1,pre20_density_t0.15,pre20_vw_density_t0.15,pre20_density_t0.1,pre20_vw_density_t0.1,pre40_density_t0.15,pre40_vw_density_t0.15,pre40_density_t0.1,pre40_vw_density_t0.1,fuel_return,fuel_drawdown,group,above_price_volume_ratio
0.2,0.11334283482806881,0.15,0.0849620520414871,0.1,0.0545329543026531,0.1,0.0545329543026531,0.1,0.0608476053628628,0.1,0.0608476053628628,0.15140493016980483,-0.1085107128213898,C,0.0787306433671915
0.05,0.03606496218282266,0.0,0.0,0.15,0.13519993162031063,0.05,0.05011134926319956,0.175,0.2376422693312777,0.075,0.1143540134976444,0.025429477259406807,-0.05705630385079319,C,0.0753952954797603
0.1,0.08172010864898996,0.1,0.08172010864898996,0.2,0.2067659238634046,0.15,0.12720433444768603,0.15,0.1419712518189027,0.1,0.08217549865661931,0.24346364613173432,-0.018967489046635477,C,0.0811895006140364
0.2,0.2110903243623665,0.1,0.1293930566320122,0.15,0.14556541509835663,0.05,0.07492779413595993,0.175,0.17169072200566368,0.05,0.058767687975731876,0.17295772700169643,-0.05808640006784649,C,0.0737740592629762
0.1,0.10113895964104738,0.05,0.04125081009720366,0.0,0.0,0.0,0.0,0.1,0.1412584851206691,0.075,0.0800693534374862,0.0849730906000572,-0.02072720533160477,B,0.0802356607549985
0.15,0.13840967325905768,0.1,0.08122077597422889,0.1,0.10773253100232814,0.1,0.10773253100232814,0.15,0.15294639097673146,0.125,0.1316417144485785,0.04268677428963641,-0.05053074247521472,C,0.0680466232580251
0.05,0.042818585131379844,0.05,0.042818585131379844,0.1,0.07358547430452694,0.1,0.07358547430452694,0.125,0.11765063859121906,0.1,0.09918405214404835,0.012771345506105591,-0.21488508191991595,C,0.0817494887313575
0.05,0.050651492824147284,0.05,0.050651492824147284,0.05,0.0506095180851909,0.05,0.0506095180851909,0.025,0.02184627978775514,0.025,0.02184627978775514,-0.02458739394725995,-0.14078816598729593,B,0.0845117459458788
0.15,0.14806739146330994,0.05,0.06285892323295052,0.05,0.06937451536553604,0.05,0.06937451536553604,0.075,0.08617340646735543,0.05,0.052495980941063836,0.03546165155534653,-0.11106721314425738,C,0.0891060160315112
0.2,0.211014048581552,0.15,0.1394207650407634,0.35,0.3234755866460199,0.3,0.2692150259347894,0.225,0.20701741042142158,0.2,0.1789938520200865,0.23780923341462934,-0.10030319941332733,B,0.0821728570428164
0.15,0.12413000387650257,0.15,0.12413000387650257,0.2,0.1663397950189103,0.2,0.1663397950189103,0.15,0.13032369780487452,0.1,0.0831477935395494,0.33020751800176984,-0.11119970101085064,C,0.0826131103614106
0.05,0.030879983356917575,0.05,0.030879983356917575,0.1,0.052376778100968246,0.1,0.052376778100968246,0.125,0.1009096809911991,0.125,0.1009096809911991,0.168552974131696,-0.09634941832681265,C,0.0776625524242152
0.1,0.0696199902744384,0.1,0.0696199902744384,0.05,0.03566472092409868,0.05,0.03566472092409868,0.075,0.06885179718350973,0.05,0.04579217177270875,0.10026407314607289,-0.07058848707175991,C,0.082178599017177
0.15,0.18654742531461013,0.15,0.18654742531461013,0.25,0.25978201722329447,0.25,0.25978201722329447,0.175,0.18541735547276322,0.175,0.18541735547276322,0.11288617474104878,-0.07580203667077079,C,0.0629003205602007
0.2,0.13684792052063205,0.2,0.13684792052063205,0.1,0.10254459461250444,0.1,0.10254459461250444,0.15,0.2395587457592364,0.125,0.21895197615434378,0.20898156777625188,-0.12339510891851013,C,0.0719565918636633
0.0,0.0,0.0,0.0,0.1,0.1203574396855006,0.05,0.06785212121083542,0.075,0.08371527532599143,0.05,0.060946188787408255,0.20450636517612608,-0.10341610964011716,C,0.0861777526653988
0.2,0.16488945968980373,0.05,0.031015698334334853,0.1,0.07558773469496304,0.05,0.03943939152172757,0.125,0.13771270649608744,0.075,0.08497081107936902,-0.019188150977325624,-0.17834790540414813,C,0.0600230331605345
0.05,0.03617077190849418,0.05,0.03617077190849418,0.1,0.0887485411308793,0.1,0.0887485411308793,0.075,0.06801549926039856,0.05,0.05010591308407915,0.1773166163207207,-0.022847868730603405,C,0.071844843647313
