symbol,name,exchange,assetType,ipoDate,delistingDate,status
ABII,Abraxis BioScience Inc,NASDAQ,Stock,2007-11-15,2010-10-25,Delisted
ACAP,AMERICAN PHYSICIANS CAPITAL INC,NASDAQ,Stock,2001-01-02,2010-11-01,Delisted
ADCT,ADC TELECOMMUNICATIONS INC,NYSE,Stock,2001-01-02,2010-12-20,Delisted
AEZ,AMERICAN OIL & GAS INC,NYSE,Stock,2003-01-21,2010-12-30,Delisted
AGAM,AGA Medical Holdings Inc,NASDAQ,Stock,2009-10-21,2010-11-29,Delisted
AGIXQ,ATHEROGENICS INC,NASDAQ,Stock,2000-08-09,2009-07-06,Delisted
AOGSQ,Aurora Oil & Gas CORP,NYSE,Stock,2009-05-11,2009-12-30,Delisted
ARS,Aleris International Inc,NASDAQ,Stock,2006-12-19,2006-12-29,Delisted
ATB,Arlington Tankers Ltd,NYSE,Stock,1995-09-12,2009-12-24,Delisted
ATN,Atlas Energy Resources LLC,NYSE,Stock,1993-04-27,2010-10-07,Delisted
BNV,Beverly National Corp,NYSE,Stock,2001-01-02,2009-11-19,Delisted
BORL,BORLAND SOFTWARE CORP,NASDAQ,Stock,1990-01-02,2009-08-12,Delisted
BRL,BARR PHARMACEUTICALS INC,NYSE,Stock,2006-12-28,2008-12-22,Delisted
CAPEQ,Cape Fear Bank CORP,NASDAQ,Stock,2006-10-02,2010-12-30,Delisted
CFL,Brinks Home Security Holdings Inc,NYSE,Stock,2008-11-03,2010-05-12,Delisted
CGRB,Cougar Biotechnology Inc,NASDAQ,Stock,2007-02-08,2009-07-24,Delisted
CHQGF,Challenger Energy Corp,NYSE,Stock,2009-03-17,2009-10-06,Delisted
CHRD,CHORDIANT SOFTWARE INC,NASDAQ,Stock,2001-01-02,2010-05-10,Delisted
CHTT,CHATTEM INC,NASDAQ,Stock,1992-11-06,2010-03-29,Delisted
CITP,COMSYS IT PARTNERS INC,NASDAQ,Stock,2004-10-05,2010-04-22,Delisted
CKNN,CASH SYSTEMS INC,NYSE,Stock,1996-04-01,2009-09-28,Delisted
CLAY,CLAYTON HOLDINGS INC,NASDAQ,Stock,2006-03-24,2009-09-28,Delisted
CLZR,CANDELA CORP,NASDAQ,Stock,2001-01-02,2010-01-22,Delisted
CMOS,CREDENCE SYSTEMS CORP,NASDAQ,Stock,1993-10-28,2009-09-29,Delisted
CXR,COX RADIO INC,NYSE,Stock,2006-12-28,2009-05-29,Delisted
DDRX,DIEDRICH COFFEE INC,NASDAQ,Stock,2001-05-11,2010-05-28,Delisted
DNA,GENENTECH INC,NYSE,Stock,2001-01-02,2010-04-05,Delisted
DRS,DRS TECHNOLOGIES INC,NYSE,Stock,1996-04-02,2009-10-30,Delisted
DTPI,DIAMOND MANAGEMENT & TECHNOLOGY CONSULTANTS INC.,NASDAQ,Stock,2001-01-02,2010-11-12,Delisted
DVINQ,Divine Inc,NASDAQ,Stock,2003-02-28,2010-10-01,Delisted
EFD,EFUNDS CORP,NYSE,Stock,2006-12-28,2007-11-13,Delisted
ENTU,ENTRUST INC,NASDAQ,Stock,1998-08-18,2009-08-13,Delisted
EVVV,ev3 Inc,NASDAQ,Stock,2005-06-16,2010-07-29,Delisted
FCKEE,FIRST CHEROKEE BANCSHARES INC,NASDAQ,Stock,1997-04-01,1997-04-01,Delisted
FGXI,FGX International Holdings LTD,NASDAQ,Stock,2007-10-25,2010-03-29,Delisted
FPU,FLORIDA PUBLIC UTILITIES CO,NASDAQ,Stock,1990-09-18,2009-11-16,Delisted
FTGX,FIBERNET TELECOM GROUP INC,NASDAQ,Stock,2001-01-02,2009-09-28,Delisted
GNSM,GENSYM CORP,NASDAQ,Stock,2007-07-13,2007-10-25,Delisted
HIRE,HIRERIGHT INC,NASDAQ,Stock,2001-06-18,2009-08-28,Delisted
HPC,HERCULES INC,NYSE,Stock,2006-12-28,2008-11-24,Delisted
HPWR,Health Power Inc,NASDAQ,Stock,2001-01-02,2010-06-03,Delisted
HTV,HEARST ARGYLE TELEVISION INC,NYSE,Stock,2006-12-28,2009-06-04,Delisted
IHR,INTERSTATE HOTELS & RESORTS INC,NYSE,Stock,2006-12-28,2010-03-17,Delisted
IKN,IKON OFFICE SOLUTIONS INC,NYSE,Stock,2006-12-28,2008-11-21,Delisted
JOR,JORGENSEN EARLE M CO,NYSE,Stock,2005-04-15,2010-05-17,Delisted
KOSN,KOSAN BIOSCIENCES INC,NASDAQ,Stock,2000-10-05,2009-07-06,Delisted
KTII,K TRON INTERNATIONAL INC,NASDAQ,Stock,2010-04-01,2010-04-19,Delisted
LUMCQ,LUMINENT MORTGAGE CAPITAL INC,NYSE,Stock,2008-09-24,2009-07-22,Delisted
MER,MERRILL LYNCH CO INC,NYSE,Stock,2006-12-28,2008-12-31,Delisted
