symbol,name,exchange,assetType,ipoDate,delistingDate,status
AACC,Asset Acceptance Capital Corp,NASDAQ,Stock,2004-02-05,2013-10-17,Delisted
AAI,AIRTRAN HOLDINGS INC,NYSE,Stock,2001-09-17,2011-11-30,Delisted
AAMRQ,Amr Corp,NYSE,Stock,2001-01-02,2013-12-17,Delisted
AATI,Advanced Analogic Technologies Incorp.,NASDAQ,Stock,2005-08-04,2012-01-27,Delisted
ABBC,ABINGTON BANCORP INC.PA,NASDAQ,Stock,2004-12-17,2011-10-10,Delisted
ABII,Abraxis BioScience Inc,NASDAQ,Stock,2007-11-15,2010-10-25,Delisted
ABVA,ALLIANCE BANKSHARES CORP,NASDAQ,Stock,2001-12-05,2013-01-07,Delisted
ABVT,ABOVENET INC,NYSE,Stock,2010-12-02,2013-07-10,Delisted
ACAP,AMERICAN PHYSICIANS CAPITAL INC,NASDAQ,Stock,2001-01-02,2010-11-01,Delisted
ACF,AMERICREDIT CORP,NYSE,Stock,2010-09-30,2011-10-10,Delisted
ACLI,AMERICAN COMMERCIAL LINES INC.,NASDAQ,Stock,2006-12-28,2010-12-31,Delisted
ACOM,Ancestry.com Inc,NASDAQ,Stock,2009-11-05,2013-01-14,Delisted
ACS,AFFILIATED COMPUTER SERVICES INC,NYSE,Stock,2010-02-05,2011-02-14,Delisted
ACTI,ACTIVIDENTITY CORP,NASDAQ,Stock,1995-10-26,2011-02-17,Delisted
ACTV,LEADERSHARES(R) ACTIVIST LEADERS(R) ETF ,NYSE,ETF,2011-05-25,2013-11-18,Delisted
ADCT,ADC TELECOMMUNICATIONS INC,NYSE,Stock,2001-01-02,2010-12-20,Delisted
ADGF,Adams Golf Inc,NASDAQ,Stock,1998-07-10,2012-06-11,Delisted
ADLR,Adolor Corp,NASDAQ,Stock,2000-11-14,2011-12-22,Delisted
ADPI,American Dental Partners Inc,NASDAQ,Stock,2012-02-09,2012-02-28,Delisted
ADVNQ,ADVANTA CORP,NASDAQ,Stock,1990-01-02,2012-03-14,Delisted
ADY,Feihe International Inc,NYSE,Stock,2006-05-26,2013-10-17,Delisted
AEA,Advance America Cash Advance Centers Inc,NYSE,Stock,2005-08-26,2013-05-01,Delisted
AEZ,AMERICAN OIL & GAS INC,NYSE,Stock,2003-01-21,2010-12-30,Delisted
AGAM,AGA Medical Holdings Inc,NASDAQ,Stock,2009-10-21,2010-11-29,Delisted
AGIXQ,ATHEROGENICS INC,NASDAQ,Stock,2000-08-09,2009-07-06,Delisted
AGP,Amerigroup Corp,NYSE,Stock,2006-12-28,2012-12-21,Delisted
ALC,Assisted Living Concepts LLC,NYSE,Stock,2006-11-10,2013-10-17,Delisted
ALNC,Alliance Financial Corp,NASDAQ,Stock,2006-12-28,2013-03-08,Delisted
ALTUQ,Altus Pharmaceutical,NASDAQ,Stock,2010-01-04,2013-08-30,Delisted
ALY,Allis Chalmers Energy Inc,NYSE,Stock,2007-03-22,2011-02-23,Delisted
AMR1,AMR Corporation AAMRQ,NASDAQ,Stock,2006-12-28,2012-01-04,Delisted
ANNB,Annapolis Bancorp Inc,NASDAQ,Stock,2006-12-22,2013-04-05,Delisted
AOGSQ,Aurora Oil & Gas CORP,NYSE,Stock,2009-05-11,2009-12-30,Delisted
ARS,Aleris International Inc,NASDAQ,Stock,2006-12-19,2006-12-29,Delisted
ART,Artio Global Investors Inc,NYSE,Stock,2009-09-24,2013-10-17,Delisted
ASFN,Atlantic Southern Financial Group Inc,NASDAQ,Stock,2011-01-31,2013-10-17,Delisted
ASI,American Safety Insurance Holdings Ltd,NYSE,Stock,2006-12-28,2013-10-01,Delisted
ATB,Arlington Tankers Ltd,NYSE,Stock,1995-09-12,2009-12-24,Delisted
ATN,Atlas Energy Resources LLC,NYSE,Stock,1993-04-27,2010-10-07,Delisted
AVZAQ,Aviza Technology Inc,NASDAQ,Stock,2005-12-02,2013-10-17,Delisted
AWBCQ,AmericanWest Bancorporation,NASDAQ,Stock,2010-03-15,2013-10-08,Delisted
AYE,ALLEGHENY ENERGY INC,NYSE,Stock,2006-12-28,2011-11-30,Delisted
BHS,BROOKFIELD HOMES CORP,NYSE,Stock,2003-01-07,2011-11-30,Delisted
BIDZ,Bidz.Com,NASDAQ,Stock,2012-11-13,2012-11-26,Delisted
BJS,BJ SERVICES CO,NYSE,Stock,2006-12-28,2011-05-09,Delisted
BKI,Buckeye Technologies Inc,NYSE,Stock,2001-01-02,2013-08-23,Delisted
BLC,Belo Corp,NYSE,Stock,2006-12-28,2013-12-23,Delisted
BLUD,IMMUCOR INC,NASDAQ,Stock,2001-01-02,2011-08-18,Delisted
BNNX,Banks.com Inc,NYSE,Stock,2007-11-27,2013-07-15,Delisted
BNV,Beverly National Corp,NYSE,Stock,2001-01-02,2009-11-19,Delisted
BORL,BORLAND SOFTWARE CORP,NASDAQ,Stock,1990-01-02,2009-08-12,Delisted
BRL,BARR PHARMACEUTICALS INC,NYSE,Stock,2006-12-28,2008-12-22,Delisted
BRNC,Bronco Drilling Company Inc,NASDAQ,Stock,2005-08-16,2011-06-23,Delisted
BRY,,NYSE,Stock,2006-12-28,2013-12-16,Delisted
BTFG,Banctrust Financial Group Inc,NASDAQ,Stock,2002-05-15,2013-03-08,Delisted
BUCY,BUCYRUS INTERNATIONAL INC,NASDAQ,Stock,2004-07-23,2011-07-18,Delisted
BWY,BWAY CORP,NYSE,Stock,2007-06-13,2011-06-24,Delisted
BXG1,Bluegreen Corp,NYSE,Stock,2001-01-02,2013-04-02,Delisted
CAGC,CHINA AGRITECH INC,NASDAQ,Stock,2009-09-03,2013-10-17,Delisted
CALCQ,CALIFORNIA COASTAL COMMUNITIES INC,NASDAQ,Stock,1992-03-17,2012-03-09,Delisted
CAPEQ,Cape Fear Bank CORP,NASDAQ,Stock,2006-10-02,2010-12-30,Delisted
