symbol,name,exchange,assetType,ipoDate,delistingDate,status
AA-W,Alcoa Corporation When Issued,NYSE,Stock,2016-10-18,2016-11-08,Delisted
AACC,Asset Acceptance Capital Corp,NASDAQ,Stock,2004-02-05,2013-10-17,Delisted
AAI,AIRTRAN HOLDINGS INC,NYSE,Stock,2001-09-17,2011-11-30,Delisted
AAIT,ISHARES MSCI ALL COUNTRY ASIA INFORMATION TECHNOLOGY INDEX FUND,NASDAQ,ETF,2012-02-09,2015-08-31,Delisted
AAMRQ,Amr Corp,NYSE,Stock,2001-01-02,2013-12-17,Delisted
AATI,Advanced Analogic Technologies Incorp.,NASDAQ,Stock,2005-08-04,2012-01-27,Delisted
ABBC,ABINGTON BANCORP INC.PA,NASDAQ,Stock,2004-12-17,2011-10-10,Delisted
ABCW,Anchor BanCorp Wisconsin Inc,NASDAQ,Stock,2016-01-04,2016-05-09,Delisted
ABFS,Arkansas Best Corp,NASDAQ,Stock,1992-05-13,2014-05-13,Delisted
ABGB,ABENGOA SA,NASDAQ,Stock,2016-01-04,2016-05-05,Delisted
ABGBY,,NASDAQ,Stock,2016-05-02,2016-05-13,Delisted
ABII,Abraxis BioScience Inc,NASDAQ,Stock,2007-11-15,2010-10-25,Delisted
ABILW,ABILW,NASDAQ,Stock,2016-01-04,2016-04-07,Delisted
ABVA,ALLIANCE BANKSHARES CORP,NASDAQ,Stock,2001-12-05,2013-01-07,Delisted
ABVT,ABOVENET INC,NYSE,Stock,2010-12-02,2013-07-10,Delisted
ACAP,AMERICAN PHYSICIANS CAPITAL INC,NASDAQ,Stock,2001-01-02,2010-11-01,Delisted
ACCL,Accelrys Inc,NASDAQ,Stock,1995-12-06,2014-05-06,Delisted
ACCU,AdvisorShares Accuvest Global Opportunities ETF,NYSE ARCA,ETF,2012-01-26,2015-01-20,Delisted
ACF,AMERICREDIT CORP,NYSE,Stock,2010-09-30,2011-10-10,Delisted
ACG,AllianceBernstein Income Fund,NYSE,ETF,1987-08-20,2016-04-26,Delisted
ACLI,AMERICAN COMMERCIAL LINES INC.,NASDAQ,Stock,2006-12-28,2010-12-31,Delisted
ACMP,Access Midstream Partners LP,NASDAQ,Stock,2010-07-29,2015-02-02,Delisted
ACO,AMCOL International Corp,NYSE,Stock,1987-08-13,2014-05-12,Delisted
ACOM,Ancestry.com Inc,NASDAQ,Stock,2009-11-05,2013-01-14,Delisted
ACS,AFFILIATED COMPUTER SERVICES INC,NYSE,Stock,2010-02-05,2011-02-14,Delisted
ACTI,ACTIVIDENTITY CORP,NASDAQ,Stock,1995-10-26,2011-02-17,Delisted
ACTV,LEADERSHARES(R) ACTIVIST LEADERS(R) ETF ,NYSE,ETF,2011-05-25,2013-11-18,Delisted
ACW,Accuride Corp,NYSE,Stock,2010-03-03,2016-11-28,Delisted
ADCT,ADC TELECOMMUNICATIONS INC,NYSE,Stock,2001-01-02,2010-12-20,Delisted
ADEP,Adept Technology Inc,NASDAQ,Stock,1995-12-15,2015-10-26,Delisted
ADGF,Adams Golf Inc,NASDAQ,Stock,1998-07-10,2012-06-11,Delisted
